#;Status;Priority;Subjet;Resource;Tipo de Asset;Updated;Last Seen;Date Found;CVSS Score de la Herramienta;CVSS Score;Puntaje Ponderado;Pertenece a Investments;Negocio
97398;Confirmed;Medium;Microsoft Windows RDP Remote Code Execution (BlueKeep);10.220.215.206:43743;IP Externa;14-06-2024;15-07-2024;17-09-2025;58;54;Si;No;
66618;Confirmed;Low;SSL/TLS: Certificado Autofirmado (Self-Signed);10.220.98.60:13597;IP Externa;25-07-2024;01-03-2024;25-09-2024;13;13;No;No;
44500;Confirmed;Medium;Soporte para LM Hashes Habilitado en Active Directory;https://nexusdata.cl/fl9ekagx42;IP Externa;12-10-2025;19-03-2024;28-11-2024;44;64;Si;No;
11594;Confirmed;Low;GitLab < 14.1.2 Remote Code Execution;10.220.4.66:12152;IP Externa;20-10-2025;07-02-2024;15-06-2024;22;12;Si;No;
10358;Reopened;Critical;TLSv1.1 Protocolo Obsoleto Habilitado;http://nexusdata.cl/9xseyw;IP Externa;15-08-2024;31-12-2024;07-05-2024;92;91;Si;No;
28438;Confirmed;High;Microsoft Windows RDP Remote Code Execution (BlueKeep);192.168.161.231:12179;IP Externa;14-09-2025;20-07-2024;17-05-2024;76;84;Si;No;
86737;Confirmed;Critical;SSL/TLS: Certificado Autofirmado (Self-Signed);173.244.10.166:58095;IP Externa;08-07-2024;18-02-2024;01-03-2024;96;97;Si;No;
50006;Confirmed;Critical;Microsoft RDP Client Remote Code Execution (CVE-2020-0655);192.168.165.164:28177;IP Externa;25-09-2024;10-06-2024;05-02-2024;92;98;Si;No;
81743;Mitigated;High;DNS Server Cache Snooping Remoto;192.168.148.217:36425;IP Externa;01-06-2024;04-09-2025;30-03-2025;81;83;Si;No;
83507;Confirmed;High;Atlassian Jira Server < 8.13.6 Vulnerabilidad de Inyecci—n de Plantillas;192.168.100.70:45210;IP Externa;05-01-2024;01-12-2024;29-05-2024;87;78;Si;No;
24950;Reopened;Critical;SSL/TLS: Compresi—n (CRIME) Habilitada;10.220.206.42:26195;IP Externa;07-06-2024;14-10-2024;14-05-2024;90;95;Si;No;
22408;Reopened;High;Microsoft Exchange Server Remote Code Execution (ProxyShell);120.157.91.226:38049;IP Externa;12-04-2024;20-09-2024;10-07-2024;89;89;Si;No;
23360;Confirmed;Low;Node.js < 16.10.0 Vulnerabilidad de Contrabando de HTTP;192.168.187.5:4352;IP Externa;26-03-2024;13-07-2025;10-07-2024;30;22;Si;No;
75592;Reopened;Informational;Java JRE < 8u301 Vulnerabilidades Mœltiples;120.32.25.26:64307;IP Externa;28-08-2024;21-10-2024;21-03-2024;0;0;No;No;
10273;Confirmed;Medium;Samba < 4.13.17 Vulnerabilidades Mœltiples (SambaCry);http://infrahost.cl/3s9kl2jjas;IP Externa;28-12-2024;18-12-2024;25-04-2025;55;52;Si;No;
64080;Confirmed;Low;Java JRE < 8u301 Vulnerabilidades Mœltiples;10.220.9.88:61912;IP Externa;29-11-2024;23-01-2024;19-10-2024;23;26;Si;No;
65625;Mitigated;Medium;Encabezado 'X-Content-Type-Options' No Encontrado (MIME Sniffing);192.168.9.60:16698;IP Externa;08-07-2025;07-03-2024;04-05-2024;45;66;Si;No;
41353;Mitigated;Low;SSL/TLS: Cifrados DŽbiles (RC4, 3DES) Habilitados;192.168.187.5:48754;IP Externa;10-12-2024;20-10-2024;15-09-2024;21;27;Si;No;
83748;Confirmed;High;TLSv1.1 Protocolo Obsoleto Habilitado;192.168.51.180:10617;IP Externa;20-01-2025;27-09-2024;13-03-2025;76;77;Si;No;
78904;Confirmed;Medium;Node.js < 16.10.0 Vulnerabilidad de Contrabando de HTTP;79.47.12.185:54244;IP Externa;30-09-2024;13-01-2025;16-05-2024;68;53;Si;No;
87119;Reopened;Medium;Microsoft Windows LSA Secrets Caching (CVE-2021-36934);173.32.197.86:5413;IP Externa;15-01-2024;01-07-2024;15-12-2024;62;49;Si;No;
21920;Mitigated;High;PostgreSQL < 13.4 Vulnerabilidades Mœltiples;10.220.158.1:37913;IP Externa;24-10-2025;23-05-2025;03-10-2024;80;80;Si;No;
43409;Reopened;High;Microsoft Windows Server: Missing Security Update (MS17-010);http://infrahost.cl/jcqc5d;IP Externa;26-06-2024;04-05-2024;25-04-2024;86;88;Si;No;
75037;Mitigated;Medium;SSL/TLS: Mismatch en el Nombre del Certificado (CN);179.237.82.184:39998;IP Externa;19-03-2025;02-07-2025;20-06-2024;60;64;Si;No;
48153;Confirmed;Medium;Servicio 'Telnet' Habilitado;https://logisticaCL.cl/lsvan15tg;IP Externa;07-07-2025;18-10-2025;04-06-2024;65;67;Si;No;
38297;Confirmed;Medium;SMB Signing Disabled o No Requerido;https://metrics.cl/ijdnm2ts8;IP Externa;12-12-2024;02-09-2024;09-03-2025;52;54;Si;No;
33901;Confirmed;High;SSL/TLS: Cifrados DŽbiles (RC4, 3DES) Habilitados;192.168.64.194:19248;IP Externa;27-04-2025;10-01-2024;17-03-2025;74;81;Si;No;
61918;Confirmed;Low;VMware vCenter Server < 7.0 U2b Remote Code Execution;101.192.139.86:45321;IP Externa;28-05-2025;31-10-2024;16-09-2024;30;33;Si;No;
33147;Confirmed;Low;Microsoft Exchange Server Remote Code Execution (ProxyShell);https://metrics.cl/ijdnm2ts8323;IP Externa;27-12-2024;30-05-2025;14-07-2025;10;11;Si;No;
33193;Mitigated;Low;vsftpd < 3.0.3 Backdoor Command Execution;192.168.243.207:58692;IP Externa;02-03-2024;20-07-2025;29-05-2024;13;13;No;No;
45604;Mitigated;High;Microsoft Windows Server: Missing Security Update (ZeroLogon);192.168.63.28:31844;IP Externa;03-05-2025;22-04-2024;01-07-2024;86;83;Si;No;
12813;Mitigated;High;Cisco IOS < 15.9(3)M Vulnerabilidad de Ejecuci—n Remota de C—digo;10.220.54.25:32907;IP Externa;30-09-2025;25-01-2024;05-07-2024;85;79;Si;No;
22212;Confirmed;Medium;Jenkins < 2.303.1 Vulnerabilidades de Cross-Site Scripting (XSS);10.220.63.168:36651;IP Externa;24-11-2024;22-06-2024;30-09-2024;51;49;Si;No;
31365;Confirmed;High;Microsoft Windows RDP Remote Code Execution (BlueKeep);10.220.144.208:39226;IP Externa;12-10-2024;23-10-2025;25-09-2025;76;81;Si;No;
84117;Confirmed;Medium;MongoDB < 4.4.8 Vulnerabilidades de Denegaci—n de Servicio;10.220.54.25:49232;IP Externa;03-01-2024;28-12-2024;02-08-2024;49;61;Si;No;
45302;Confirmed;Critical;Firewall: Pol’tica 'ANY-ANY-ALLOW' Detectada;10.220.158.53:15182;IP Externa;13-01-2024;21-01-2024;09-07-2024;91;93;Si;No;
10267;Confirmed;Low;Microsoft SQL Server < 2017 CU22 Vulnerabilidades Mœltiples;10.220.234.27:6759;IP Externa;21-04-2024;27-02-2025;25-02-2024;36;31;Si;No;
71699;Confirmed;High;PHP < 8.0.12 Vulnerabilidades Mœltiples;192.168.104.5:43548;IP Externa;01-10-2025;19-02-2024;27-11-2024;71;88;Si;No;
15162;Reopened;Medium;Microsoft Windows: Contrase–as almacenadas usando Encriptaci—n Reversible;10.220.255.110:10139;IP Externa;12-08-2024;21-09-2025;22-01-2024;44;43;Si;No;
93628;Confirmed;High;DNS Server Permite Transferencias de Zona (AXFR);10.220.54.25:44181;IP Externa;02-06-2025;21-03-2024;10-09-2024;72;79;Si;No;
33283;Confirmed;Low;Sudo < 1.9.5p2 Vulnerabilidad de 'Baron Samedit';10.220.102.183:63490;IP Externa;02-09-2024;06-04-2025;04-01-2025;33;25;Si;No;
30037;Confirmed;Informational;JBoss EAP < 7.3.0 Vulnerabilidades de Deserializaci—n;120.157.91.226:38049;IP Externa;13-11-2024;15-09-2025;09-01-2025;0;0;No;No;
23328;Mitigated;High;MongoDB < 4.4.8 Vulnerabilidades de Denegaci—n de Servicio;https://innovatec.cl/t8h06yxmp0;IP Externa;28-03-2025;18-03-2025;12-09-2025;86;76;Si;No;
93397;Mitigated;High;Microsoft Windows Server: Missing Security Update (ZeroLogon);http://gestionsegura.cl/iudgcf;IP Externa;27-01-2025;27-08-2024;01-05-2024;81;82;Si;No;
38872;Confirmed;Medium;Servidor SMTP Expone Usuarios (VRFY / EXPN);10.220.249.96:24991;IP Externa;12-04-2025;15-10-2024;16-05-2024;56;51;Si;No;
83044;Confirmed;Medium;TLSv1.1 Protocolo Obsoleto Habilitado;214.90.71.26:3611;IP Externa;13-03-2024;27-11-2024;07-03-2025;55;62;Si;No;
34435;Confirmed;Medium;Permisos de /etc/shadow DŽbiles;10.220.186.42:26545;IP Externa;23-10-2024;24-04-2025;22-04-2024;55;46;Si;No;
28251;Mitigated;Medium;VMware vCenter Server < 7.0 U2b Remote Code Execution;181.3.106.240:48986;IP Externa;14-03-2025;09-06-2024;09-10-2025;56;46;Si;No;
38653;Confirmed;Low;SSL/TLS: Vulnerabilidad 'CRIME';25.246.127.109:64090;IP Externa;04-07-2024;15-08-2024;23-10-2025;27;26;Si;No;
56522;Mitigated;Low;Microsoft RDP Client Remote Code Execution (CVE-2020-0655);124.28.80.33:61582;IP Externa;15-05-2024;17-11-2024;30-12-2024;23;23;Si;No;
46154;Mitigated;Low;Java JRE < 8u301 Vulnerabilidades Mœltiples;10.220.150.75:12547;IP Externa;05-07-2025;27-12-2024;26-09-2024;11;25;Si;No;
81239;Confirmed;Medium;SSL/TLS: Certificado con Firma SHA-1 Obsoleta;2.187.25.237:20513;IP Externa;18-11-2024;11-06-2025;29-10-2024;66;68;Si;No;
98620;Confirmed;High;Soporte para 'Null Sessions' de SMB Habilitado;192.168.238.164:23698;IP Externa;30-03-2024;24-02-2025;13-04-2024;81;71;Si;No;
70794;Confirmed;Low;Permisos de /etc/passwd DŽbiles;10.220.234.27:35864;IP Externa;01-05-2024;21-03-2025;19-08-2025;16;16;No;No;
91061;Confirmed;Medium;Dispositivo de Red: Interfaz de Administraci—n Expuesta a Internet;10.220.234.27:6753;IP Externa;16-05-2025;12-01-2024;04-08-2025;61;54;Si;No;
12923;Reopened;Medium;Servicio 'rlogin/rsh' Habilitado;156.67.74.154:6301;IP Externa;15-03-2025;12-03-2025;18-10-2024;61;61;Si;No;
29487;Confirmed;High;Servicio 'Telnet' Habilitado;192.168.161.231:32905;IP Externa;06-08-2025;18-10-2024;03-06-2024;82;71;Si;No;
17937;Confirmed;Low;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);192.168.161.231:10277;IP Externa;06-07-2024;05-06-2025;30-09-2024;22;25;Si;No;
65965;Mitigated;Low;SSLv3 Protocolo Obsoleto Habilitado (POODLE);10.220.129.126:3584;IP Externa;06-09-2024;21-05-2024;16-07-2025;24;36;Si;No;
44359;Confirmed;Informational;Servidor NTP 'monlist' Habilitado (DoS Amplificado);192.168.96.213:32472;IP Externa;23-05-2024;01-03-2024;03-08-2025;0;0;No;No;
26279;Confirmed;Low;Python < 3.9.7 Vulnerabilidades Mœltiples;https://portalweb.cl/2g78u6ry8x;IP Externa;08-08-2024;07-02-2024;06-08-2024;29;28;Si;No;
78872;Mitigated;Critical;SSL/TLS: Vulnerabilidad 'CRIME';192.168.209.24:18203;IP Externa;23-10-2024;14-08-2025;17-07-2024;92;96;Si;No;
55267;Mitigated;Medium;Drupal < 9.2.6 Vulnerabilidades Mœltiples;192.168.224.137:4572;IP Externa;27-11-2024;17-01-2025;11-02-2024;65;51;Si;No;
43770;Confirmed;Low;Microsoft Exchange Server Remote Code Execution (ProxyShell);https://logisticaCL.cl/avlo2sbyv;IP Externa;05-10-2025;25-09-2025;30-01-2024;22;11;Si;No;
10199;Confirmed;Low;Encabezado 'X-Frame-Options' No Encontrado (Clickjacking);173.244.10.166:18353;IP Externa;15-08-2024;01-05-2024;03-09-2024;15;15;No;No;
36953;Confirmed;Low;Servidor SMTP Permite 'Open Relay';120.157.91.226:38049;IP Externa;11-07-2025;25-05-2025;28-04-2024;19;27;Si;No;
66531;Confirmed;High;OpenSSH < 8.7 Vulnerabilidad de PAM;192.168.75.126:18127;IP Externa;17-12-2024;02-11-2024;02-06-2024;82;78;Si;No;
68250;Confirmed;Informational;DNS Server Cache Snooping Remoto;184.220.87.56:29515;IP Externa;16-12-2024;20-11-2024;16-10-2024;0;0;No;No;
34078;Confirmed;Low;Servidor SMTP Permite 'Open Relay';https://securenet.cl/jf2h0h352;IP Externa;18-08-2024;18-01-2024;27-09-2024;11;25;Si;No;
51963;Confirmed;High;Encabezado 'X-Frame-Options' No Encontrado (Clickjacking);221.88.136.28:49509;IP Externa;21-02-2024;05-10-2025;18-03-2024;85;72;Si;No;
81857;Mitigated;Low;Adobe Acrobat Reader < 2021.005.20060 Vulnerabilidades Mœltiples;192.168.161.231:56502;IP Externa;27-02-2024;28-05-2025;26-03-2024;15;15;No;No;
70723;Confirmed;Medium;Permisos de /etc/shadow DŽbiles;192.168.237.241:58371;IP Externa;04-08-2025;09-08-2024;27-06-2024;61;62;Si;No;
58390;Confirmed;Medium;SSL/TLS: Vulnerabilidad 'CRIME';10.220.150.155:19953;IP Externa;02-07-2024;05-01-2024;05-09-2024;58;46;Si;No;
48408;Confirmed;Low;Linux Kernel < 5.10.4 Vulnerabilidad de Dirty Pipe;https://logisticaCL.cl/v24zoqv0;IP Externa;06-03-2025;24-05-2024;13-10-2024;13;13;No;No;
42003;Confirmed;Medium;Microsoft Windows RDP Remote Code Execution (BlueKeep);10.220.104.47:42787;IP Externa;03-01-2025;21-08-2024;27-03-2024;48;54;Si;No;
73731;Confirmed;Low;SSL/TLS: Vulnerabilidad 'CRIME';10.220.97.62:27714;IP Externa;21-07-2024;19-08-2024;22-11-2024;10;28;Si;No;
65082;Mitigated;Medium;Microsoft .NET Framework < 4.8 Vulnerabilidad de Denegaci—n de Servicio;10.220.64.86:29956;IP Externa;29-03-2024;27-10-2024;12-01-2024;53;53;No;No;
91843;Confirmed;Critical;ProFTPD < 1.3.6 Vulnerabilidades Mœltiples;10.220.224.159:58838;IP Externa;11-05-2024;17-08-2024;08-11-2024;94;93;Si;No;
21928;Confirmed;High;PHP < 8.0.12 Vulnerabilidades Mœltiples;10.220.220.103:34988;IP Externa;16-01-2024;07-01-2024;11-02-2024;73;88;Si;No;
75721;Confirmed;Critical;OpenSSL < 1.1.1l Vulnerabilidades Mœltiples;10.220.229.21:55243;IP Externa;22-10-2025;11-04-2025;09-01-2024;93;99;Si;No;
15477;Confirmed;Low;Servidor NTP 'monlist' Habilitado (DoS Amplificado);192.168.95.49:55100;IP Externa;25-05-2024;02-03-2024;26-05-2025;20;30;Si;No;
77046;Confirmed;Medium;TLSv1.1 Protocolo Obsoleto Habilitado;90.230.230.53:64849;IP Externa;28-05-2024;04-03-2025;28-06-2024;58;41;Si;No;
90658;Mitigated;Low;GitLab < 14.1.2 Remote Code Execution;192.168.74.144:1185;IP Externa;15-12-2024;27-06-2024;18-08-2025;10;24;Si;No;
50949;Reopened;Medium;Microsoft IIS Server Mœltiples Vulnerabilidades (HTP.sys);192.168.253.176:58362;IP Externa;17-06-2025;08-08-2025;03-07-2025;67;66;Si;No;
46658;Reopened;Low;Splunk < 8.2.2 Vulnerabilidades Mœltiples;10.220.168.65:44776;IP Externa;25-06-2025;01-06-2024;22-06-2024;10;29;Si;No;
73557;Mitigated;High;NetBIOS Name Service (NBT-NS) Spoofing;192.168.224.137:48166;IP Externa;14-04-2024;13-11-2024;19-01-2025;79;74;Si;No;
46492;Confirmed;Low;Splunk < 8.2.2 Vulnerabilidades Mœltiples;120.157.91.226:38049;IP Externa;18-07-2025;20-01-2024;28-03-2025;20;27;Si;No;
49519;Confirmed;Critical;Servidor NTP 'monlist' Habilitado (DoS Amplificado);45.192.207.220:21833;IP Externa;10-02-2024;21-09-2024;05-04-2025;94;97;Si;No;
88129;Confirmed;Critical;GitLab < 14.1.2 Remote Code Execution;10.220.111.196:57649;IP Externa;07-01-2024;28-09-2024;23-01-2024;92;98;Si;Si;
21695;Confirmed;Low;Cisco IOS < 15.9(3)M Vulnerabilidad de Ejecuci—n Remota de C—digo;https://virtualhost.cl/u8ewayn;IP Externa;19-04-2024;16-10-2025;30-01-2025;26;13;Si;No;
51748;Mitigated;High;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);219.25.193.163:57868;IP Externa;17-04-2025;27-07-2024;09-08-2024;73;78;Si;No;
10694;Confirmed;Low;Microsoft Windows Server: Missing Security Update (MS17-010);10.220.203.114:54546;IP Externa;22-07-2025;19-03-2024;27-09-2025;12;28;Si;No;
48534;Mitigated;Medium;DNS Server Permite Transferencias de Zona (AXFR);192.168.243.229:20197;IP Externa;13-02-2025;11-10-2025;02-10-2025;50;42;Si;No;
94263;Mitigated;Low;VMware ESXi < 6.7 P05 Vulnerabilidad 'VMCA' (CVE-2021-21975);192.168.104.5:36527;IP Externa;07-10-2025;17-06-2024;27-12-2024;22;10;Si;No;
75886;Mitigated;Critical;LLMNR y NBT-NS Habilitados (Riesgo de Spoofing);68.77.172.208:60468;IP Externa;19-08-2025;25-11-2024;13-02-2025;95;96;Si;No;
55041;Mitigated;Low;Dispositivo de Red: Interfaz de Administraci—n Expuesta a Internet;223.218.101.32:55134;IP Externa;10-05-2024;18-08-2024;23-09-2024;14;26;Si;No;
62742;Confirmed;Low;Permisos de /etc/passwd DŽbiles;10.220.29.130:45021;IP Externa;21-06-2025;25-04-2024;18-07-2025;15;15;No;No;
69835;Mitigated;Low;Oracle WebLogic Server < 14.1.1.0.0 Vulnerabilidad de Deserializaci—n (CVE-2020-14882);10.220.210.135:62051;IP Interna;19-04-2024;14-03-2025;08-08-2024;20;26;Si;No;
69711;Confirmed;Medium;SSL/TLS: Mismatch en el Nombre del Certificado (CN);10.220.63.168:9480;IP Externa;02-01-2024;28-01-2024;11-01-2025;57;51;Si;No;
23784;Mitigated;Informational;Microsoft Office: Missing Security Updates (Macros);192.168.115.252:44822;IP Interna;05-04-2025;21-04-2024;25-10-2024;0;0;No;No;
30466;Confirmed;Low;Permisos de /etc/passwd DŽbiles;26.74.47.184:23005;IP Externa;14-04-2024;13-03-2025;07-10-2024;13;13;No;No;
88220;Reopened;Medium;Drupal < 9.2.6 Vulnerabilidades Mœltiples;10.220.252.166:58366;IP Externa;29-05-2024;01-02-2024;24-09-2025;60;43;Si;No;
75039;Confirmed;Medium;Microsoft SQL Server < 2017 CU22 Vulnerabilidades Mœltiples;114.62.73.14:6218;IP Externa;31-08-2024;29-09-2024;24-12-2024;42;42;No;No;
14279;Confirmed;Medium;Wordpress < 5.8.1 Vulnerabilidades Mœltiples;138.127.0.221:20786;IP Externa;03-08-2024;05-08-2024;19-08-2024;64;56;Si;No;
28816;Confirmed;High;SSL/TLS: Vulnerabilidad 'CRIME';10.220.150.75:47309;IP Externa;26-07-2024;14-01-2024;27-01-2025;78;83;Si;No;
86743;Reopened;Medium;DNS Server Cache Snooping Remoto;http://innovatec.cl/qol2nxiy5c6;IP Externa;06-07-2024;30-03-2025;03-01-2025;60;57;Si;No;
87270;Confirmed;Medium;SSL/TLS: Certificado Expirado;10.220.135.106:25324;IP Interna;24-01-2024;06-09-2024;07-04-2024;57;48;Si;No;
38563;Mitigated;Medium;SSLv3 Protocolo Obsoleto Habilitado (POODLE);192.168.238.164:34460;IP Externa;10-09-2024;18-02-2024;13-05-2024;57;49;Si;No;
26887;Confirmed;Informational;Microsoft Windows SMBv1 Protocolo Obsoleto Detectado;29.87.111.178:27789;IP Externa;25-10-2025;13-09-2025;22-06-2024;0;0;No;Si;
59227;Mitigated;Medium;LLMNR y NBT-NS Habilitados (Riesgo de Spoofing);114.62.73.14:6255;IP Interna;10-02-2024;22-09-2024;02-05-2025;44;63;Si;Si;
25825;Confirmed;Critical;ProFTPD < 1.3.6 Vulnerabilidades Mœltiples;10.220.9.88:40152;IP Externa;28-04-2024;16-03-2025;09-02-2024;95;95;Si;Si;
99258;Mitigated;Low;Microsoft RDP Client Remote Code Execution (CVE-2020-0655);156.67.74.154:44838;IP Externa;26-03-2025;29-06-2025;28-02-2024;36;24;Si;Si;
89413;Reopened;Critical;Java JRE < 8u301 Vulnerabilidades Mœltiples;10.220.144.208:43637;IP Interna;04-03-2024;24-03-2024;25-07-2025;94;92;Si;Si;
83840;Mitigated;Low;Microsoft IIS Server Mœltiples Vulnerabilidades (HTP.sys);10.220.54.25:25936;IP Interna;21-05-2024;14-02-2025;16-12-2024;26;37;Si;Si;
60382;Mitigated;Low;Microsoft Windows LSA Secrets Caching (CVE-2021-36934);120.157.91.226:38049;IP Externa;03-04-2024;27-06-2025;21-11-2024;16;27;Si;Si;
87533;Confirmed;Medium;Dispositivo de Red: Contrase–a por Defecto Habilitada (admin/admin);10.220.111.196:44981;IP Externa;12-07-2024;02-02-2024;05-10-2024;41;59;Si;Si;
22552;Confirmed;Critical;SSL/TLS: Cifrados DŽbiles (RC4, 3DES) Habilitados;103.79.44.205:36622;IP Externa;11-07-2024;19-06-2024;08-03-2025;98;96;Si;No;
37354;Reopened;Critical;Microsoft Exchange Server Remote Code Execution (ProxyShell);10.220.2.37:31255;IP Externa;17-06-2024;04-07-2024;22-02-2024;99;97;Si;No;
28791;Confirmed;Low;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;192.168.209.226:46351;IP Externa;10-03-2025;17-12-2024;21-07-2024;23;32;Si;No;
93958;Confirmed;Low;Microsoft Exchange Server Remote Code Execution (ProxyShell);10.220.129.126:61084;IP Externa;24-07-2024;14-02-2024;04-11-2024;35;27;Si;No;
42495;Confirmed;Low;Servicio 'Telnet' Habilitado;51.218.249.186:42784;IP Interna;11-06-2025;18-06-2024;01-04-2025;10;12;Si;No;
77672;Mitigated;High;Drupal < 9.2.6 Vulnerabilidades Mœltiples;10.220.203.114:21112;IP Externa;29-01-2024;28-04-2024;16-04-2025;86;83;Si;No;
78553;Confirmed;Low;Polkit (pkexec) < 0.120 Vulnerabilidad de Escalada de Privilegios (PwnKit);3.51.163.187:19218;IP Externa;04-09-2025;26-10-2024;01-08-2024;17;32;Si;No;
26972;Mitigated;Medium;JBoss EAP < 7.3.0 Vulnerabilidades de Deserializaci—n;192.168.145.180:30058;IP Externa;19-02-2025;05-06-2024;25-06-2024;49;58;Si;No;
96786;Confirmed;Medium;Wordpress < 5.8.1 Vulnerabilidades Mœltiples;156.67.74.154:53534;IP Externa;22-01-2025;20-06-2024;13-09-2025;64;60;Si;No;
92996;Reopened;High;Microsoft SQL Server < 2017 CU22 Vulnerabilidades Mœltiples;192.168.17.231:48750;IP Interna;18-03-2024;10-02-2024;23-10-2024;70;86;Si;No;
20802;Confirmed;Medium;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;10.220.210.135:62051;IP Interna;14-01-2025;10-05-2025;07-02-2025;63;63;Si;No;
16689;Confirmed;Medium;Privilegios de 'SeEnableTakeOwnershipPrivilege' Asignados a Usuarios No Administrativos;https://accesototal.cl/l1uoo4v;IP Externa;31-03-2024;12-06-2024;15-03-2025;41;42;Si;No;
87417;Confirmed;Medium;Splunk < 8.2.2 Vulnerabilidades Mœltiples;192.168.238.164:39372;IP Externa;25-02-2024;27-10-2024;06-07-2024;65;52;Si;No;
76429;Mitigated;Low;Apache HTTP Server < 2.4.51 Vulnerabilidad de Path Traversal;10.220.224.159:57887;IP Externa;19-09-2024;13-07-2024;12-11-2024;20;14;Si;No;
97198;Confirmed;High;TLSv1.1 Protocolo Obsoleto Habilitado;206.90.11.91:9059;IP Externa;22-04-2024;28-08-2024;17-06-2025;72;87;Si;No;
82627;Confirmed;High;Microsoft Windows Server: Missing Security Update (ZeroLogon);192.168.19.63:3380;IP Interna;05-03-2024;30-10-2024;07-06-2024;83;81;Si;No;
88570;Confirmed;Medium;Microsoft SQL Server < 2017 CU22 Vulnerabilidades Mœltiples;10.220.249.96:51867;IP Interna;24-05-2024;07-11-2024;14-03-2024;57;58;Si;No;
41467;Confirmed;Medium;VMware ESXi < 6.7 P05 Vulnerabilidad 'VMCA' (CVE-2021-21975);90.230.230.53:53394;IP Externa;11-09-2025;28-07-2024;02-02-2024;42;42;No;No;
87753;Confirmed;Medium;Microsoft IIS Server Mœltiples Vulnerabilidades (HTP.sys);192.168.209.226:31458;IP Externa;18-12-2024;25-05-2024;18-05-2024;57;49;Si;No;
79018;Confirmed;Critical;Microsoft Windows Server: Missing Security Update (ZeroLogon);https://sistemasweb.cl/sxasqn5n0;IP Externa;18-11-2024;10-06-2024;14-07-2024;91;99;Si;No;
51969;Reopened;Medium;Servidor FTP Permite Login An—nimo;10.220.105.226:8253;IP Externa;24-03-2024;12-01-2024;17-09-2024;67;58;Si;No;
30719;Mitigated;Medium;OpenSSL < 1.1.1l Vulnerabilidades Mœltiples;120.157.91.226:38049;IP Externa;05-09-2024;25-07-2024;19-06-2025;62;51;Si;No;
